seq,dbg,func,mnemonic,mem_type,first_req,first_A,avg_A_to_D,last_D,last_resp,completion_delta,completion_source,vliq_enq,vliq_las,lrob_push,lrob_deq,lmu_push,lss_comp
0,0,_start,vle 32.v.sew32,DRAM,26257,26257,33.8,26295,26295,38,RESP,26256,26260,,,26287,26287
1,1,_start,vle 32.v.sew32,TCM,26306,26306,7.0,26316,26316,10,RESP,26305,26309,,,26313,26313
2,2,_start,vle 16.v.sew16,DRAM,26324,26324,39.0,26369,26369,45,RESP,26323,26327,,,26354,26354
3,3,_start,vle 16.v.sew16,TCM,26379,26379,7.0,26389,26389,10,RESP,26378,26382,,,26386,26386
4,4,_start,vle 8.v.sew8,DRAM,26397,26397,33.8,26435,26435,38,RESP,26396,26400,,,26427,26427
5,5,_start,vle 8.v.sew8,TCM,26445,26445,7.0,26455,26455,10,RESP,26444,26448,,,26452,26452
8,9,_start,vle 32.v.sew32,TCM,38949,38949,7.0,38959,38959,10,RESP,38948,38952,,,38956,38956
9,10,_start,vle 32.v.sew32,TCM,38953,38953,7.0,38963,38963,10,RESP,38949,38956,,,38960,38960
10,11,_start,vle 32.v.sew32,TCM,38957,38957,7.0,38967,38967,10,RESP,38950,38960,,,38964,38964
11,12,_start,vle 32.v.sew32,TCM,38961,38961,7.0,38971,38971,10,RESP,38951,38964,,,38968,38968
12,13,_start,vle 32.v.sew32,TCM,38965,38965,7.0,38975,38975,10,RESP,38962,38968,,,38972,38972
13,14,_start,vle 32.v.sew32,TCM,39003,39003,7.0,39013,39013,10,RESP,39002,39006,,,39010,39010
15,15,_start,vle 32.v.sew32,TCM,39007,39007,7.0,39017,39017,10,RESP,39003,39010,,,39014,39014
16,16,_start,vle 32.v.sew32,TCM,39011,39011,7.0,39024,39024,13,RESP,39004,39017,,,39018,39018
24,33,_start,vlse 32.v.sew32(stride),DRAM,49582,49582,54.0,49636,49636,54,RESP,49581,49582,,,49636,49636
25,41,_start,vlse 32.v.sew32(stride),TCM,49662,49662,7.0,49669,49669,7,RESP,49661,49662,,,49669,49669
30,59,_start,vle 32.v.sew32,DRAM,60925,60925,37.8,60971,60971,46,RESP,60924,60928,,,60955,60955
31,75,_start,vluxei 32.v.sew32(idx-unord),DRAM,61045,61045,12.0,61057,61057,12,RESP,61041,61045,,,61057,61057
32,79,_start,vluxei 32.v.sew32(idx-unord),TCM,61078,61078,7.0,61085,61085,7,RESP,61074,61078,,,61085,61085
33,83,_start,vluxei 32.v.sew32(idx-unord),TCM,61092,61092,7.0,61099,61099,7,RESP,61088,61092,,,61099,61099
34,87,_start,vluxei 32.v.sew32(idx-unord),TCM,61106,61106,7.0,61113,61113,7,RESP,61102,61106,,,61113,61113
35,91,_start,vluxei 32.v.sew32(idx-unord),TCM,61120,61120,7.0,61127,61127,7,RESP,61116,61120,,,61127,61127
36,95,_start,vluxei 32.v.sew32(idx-ord),DRAM,61144,61144,12.0,61156,61156,12,RESP,61140,61144,,,61156,61156
37,99,_start,vluxei 32.v.sew32(idx-ord),DRAM,61164,61164,12.0,61176,61176,12,RESP,61160,61164,,,61176,61176
38,103,_start,vluxei 32.v.sew32(idx-ord),DRAM,61184,61184,12.0,61196,61196,12,RESP,61180,61184,,,61196,61196
39,107,_start,vluxei 32.v.sew32(idx-ord),DRAM,61204,61204,12.0,61216,61216,12,RESP,61200,61204,,,61216,61216
40,111,_start,vluxei 32.v.sew32(idx-ord),TCM,61235,61235,7.0,61242,61242,7,RESP,61231,61235,,,61242,61242
41,115,_start,vluxei 32.v.sew32(idx-ord),TCM,61249,61249,7.0,61256,61256,7,RESP,61245,61249,,,61256,61256
42,119,_start,vluxei 32.v.sew32(idx-ord),TCM,61263,61263,7.0,61270,61270,7,RESP,61259,61263,,,61270,61270
43,123,_start,vluxei 32.v.sew32(idx-ord),TCM,61277,61277,7.0,61284,61284,7,RESP,61273,61277,,,61284,61284
51,157,_start,vle 8.v.sew8,DRAM,71839,71839,33.8,71877,,38,D_EST,71838,71842,71876,71878,71869,71869
52,158,_start,vle 8.v.sew8,TCM,71901,71901,7.0,71911,,10,D_EST,71900,71904,71909,71911,71908,71908
55,161,_start,vle 8.v.sew8,DRAM,72037,72037,12.0,72052,,15,D_EST,72036,72040,72050,72052,72049,72049
56,162,_start,vle 8.v.sew8,TCM,72077,72077,7.0,72087,,10,D_EST,72076,72080,72085,72087,72084,72084
57,163,_start,vle 16.v.sew16,DRAM,82813,82813,12.0,82828,82828,15,RESP,82812,82816,,,82825,82825
58,165,_start,vle 16.v.sew16,TCM,82840,82840,7.0,82850,82850,10,RESP,82839,82843,,,82847,82847
59,167,_start,vle 8.v.sew8,DRAM,82860,82860,12.0,82875,82875,15,RESP,82859,82863,,,82872,82872
60,169,_start,vle 8.v.sew8,TCM,82885,82885,7.0,82895,82895,10,RESP,82884,82888,,,82892,82892
61,171,_start,vle 32.v.sew32,DRAM,93440,93440,35.0,93476,93476,36,RESP,93439,93441,,,93475,93475
