seq,dbg,func,mnemonic,mem_type,first_req,first_A,avg_A_to_D,last_D,last_resp,completion_delta,completion_source,vsiq_enq,vsiq_sss,ssb_in,ssb_out,vsiq_sas
6,7,_start,vse 32.v.sew32,DRAM,26464,26464,46.2,26517,26517,53,RESP,26463,26470,,,26470
7,8,_start,vse 32.v.sew32,TCM,26527,26527,9.0,26540,26540,13,RESP,26526,26532,,,26532
14,18,_start,vse 32.v.sew32,TCM,39009,39009,10.2,39025,39025,16,RESP,39008,39014,,,39015
17,19,_start,vse 32.v.sew32,TCM,39019,39019,9.0,39032,39032,13,RESP,39018,39024,,,39024
18,20,_start,vse 32.v.sew32,TCM,39029,39029,9.0,39042,39042,13,RESP,39028,39034,,,39034
19,21,_start,vse 32.v.sew32,TCM,39039,39039,9.0,39052,39052,13,RESP,39038,39044,,,39044
20,22,_start,vse 32.v.sew32,TCM,39139,39139,9.0,39152,39152,13,RESP,39138,39144,,,39144
21,23,_start,vse 32.v.sew32,TCM,39149,39149,9.0,39162,39162,13,RESP,39148,39154,,,39154
22,24,_start,vse 32.v.sew32,TCM,39159,39159,9.0,39172,39172,13,RESP,39158,39164,,,39164
23,25,_start,vse 32.v.sew32,TCM,39169,39169,9.0,39182,39182,13,RESP,39168,39174,,,39174
26,48,_start,vsse 32.v.sew32(stride),DRAM,49688,49688,54.0,49742,49742,54,RESP,49685,49688,,,49688
27,50,_start,vsse 32.v.sew32(stride),DRAM,49700,49700,48.0,49748,49748,48,RESP,49699,49702,,,49700
28,56,_start,vsse 32.v.sew32(stride),TCM,49767,49767,8.0,49775,49775,8,RESP,49764,49767,,,49767
29,58,_start,vsse 32.v.sew32(stride),TCM,49773,49773,10.0,49783,49783,10,RESP,49772,49775,,,49773
44,125,_start,vsuxei 32.v.sew32(idx-unord),DRAM,61299,61299,13.0,61312,61312,13,RESP,61295,61298,,,61299
45,130,_start,vsuxei 32.v.sew32(idx-unord),DRAM,61305,61305,12.0,61317,61317,12,RESP,61301,61304,,,61305
46,136,_start,vsuxei 32.v.sew32(idx-unord),DRAM,61323,61323,13.0,61336,61336,13,RESP,61319,61322,,,61323
47,140,_start,vsuxei 32.v.sew32(idx-unord),DRAM,61339,61339,13.0,61352,61352,13,RESP,61335,61338,,,61339
48,146,_start,vsuxei 32.v.sew32(idx-unord),TCM,61373,61373,8.0,61381,61381,8,RESP,61369,61372,,,61373
49,152,_start,vsuxei 32.v.sew32(idx-unord),TCM,61391,61391,8.0,61399,61399,8,RESP,61387,61390,,,61391
50,156,_start,vsuxei 32.v.sew32(idx-unord),TCM,61407,61407,8.0,61415,61415,8,RESP,61403,61406,,,61407
53,159,_start,vse 8.v.sew8,DRAM,71934,71934,49.2,71993,71993,59,RESP,71933,71943,71936,71940,71949
54,160,_start,vse 8.v.sew8,TCM,72002,72002,16.2,72031,72031,29,RESP,72001,72011,72004,72008,72017
62,174,_start,vse 8.v.sew8,DRAM,93445,93445,80.0,93529,93529,84,RESP,93444,93483,,,93446
63,175,_start,vse 8.v.sew8,TCM,93538,93538,10.0,93549,93549,11,RESP,93537,93541,,,93539
